soc10m,sc2010mg,N,E0,E1,E2,gaisi_beta,E1_3d,E2_3d,N_3d
1252  'Garage mngrs and Prprtrs',125,31.80000013113022,12.64500001817942,6.910000264644623,12.24500020593405,.40982705,305.49551,377.84702,1035.298
1253  'Hairdressing and beauty salon mngrs and Prprtrs',125,38.60000026226044,16.92750034481287,9.445000227540731,12.22750023752451,.40307644,305.49551,377.84702,1035.298
1254  'Shopkeepers and Prprtrs ? wholesale and retail',125,141.6500003933907,61.46000067144632,33.75650076940656,46.43350106291473,.40221146,305.49551,377.84702,1035.298
1255  'Waste disposal and environmental services mngrs',125,96.20000034570694,37.23000033572316,25.22250053659081,33.7475008815527,.43759096,305.49551,377.84702,1035.298
1259  'mngrs and Prprtrs in other services n.e.c.',125,562.6479682102799,272.2950039766729,186.5715055204928,218.0835056900978,.52539647,305.49551,377.84702,1035.298
2111  'Chemical scientists',211,95.35000056028366,38.64749996177852,26.33500064350665,30.36750070750713,.43543524,249.345,250.25751,754.92902
2112  'Biological scientists and biochemists',211,267.0790343880653,93.37500060349703,84.60500149801373,89.22000227123499,.4838081,249.345,250.25751,754.92902
2113  'Physical scientists',211,90.50000035762787,25.927500275895,30.44750061631203,34.12500106357038,.52497238,249.345,250.25751,754.92902
2114  'Social and humanities scientists',211,242.0500004291534,75.5625007096678,87.92250181734562,78.56500147655606,.52553195,249.345,250.25751,754.92902
2119  'Natural and social science professionals n.e.c.',211,59.95000028610229,21.93500033020973,20.03500050120056,17.98000055365264,.48415348,249.345,250.25751,754.92902
2121  'Civil engineers',212,257.4500016570091,96.13500106707215,68.11250189505517,93.20250241085887,.44557682,377.022,473.168,896.61646
2122  'Mechanical engineers',212,1.145278513431549,.1749999970197678,.6100000143051147,.9650000333786011,.68435729,377.022,473.168,896.61646
2123  'Electrical engineers',212,.7286813259124756,.0949999988079071,.4274999797344208,.4274999797344208,.68435729,377.022,473.168,896.61646
2124  'Electronics engineers',212,.6064272522926331,.4800000190734863,.1600000113248825,.1600000113248825,.68435729,377.022,473.168,896.61646
2126  'Design and development engineers',212,124.6836036592722,146.6800023019314,124.3520031739026,140.8680043872446,1.5622424,377.022,473.168,896.61646
2127  'Production and process engineers',212,100.5000003576279,29.77000052668154,29.48000069335103,41.25000095553696,.49855721,377.022,473.168,896.61646
2129  'Engineering professionals n.e.c.',212,411.5024474263191,195.9075027368963,153.880004324019,196.2950059529394,.61245686,377.022,473.168,896.61646
2133  'IT specialist mngrs',213,260.4000014066696,78.75600104033947,88.05750234797597,93.58650276158005,.51786005,405.3605,438.24503,1126.3909
2134  'IT project and programme mngrs',213,39.70000034570694,11.00000024586916,14.92500045150518,13.77500056475401,.54943329,405.3605,438.24503,1126.3909
"2135  'IT business analysts, archtcts and systms designers'",213,187.700000166893,55.0850007943809,67.41250158473849,65.20250155776739,.53283834,405.3605,438.24503,1126.3909
2136  'Programmers and software development professionals',213,131.9000011086464,39.05250058323145,42.38250136747956,50.46500152349472,.51262319,405.3605,438.24503,1126.3909
2137  'Web design and development professionals',213,132.2908356487751,45.69100062921643,64.52700133994222,75.9920015130192,.77498192,405.3605,438.24503,1126.3909
2139  'IT and telecommunications professionals',213,374.4000020027161,107.1200019493699,128.056002791971,139.2240031939,.52795941,405.3605,438.24503,1126.3909
2141  'Conservation professionals',214,111.9500002861023,24.59000050276518,45.03750094026327,42.32250094413757,.59132427,124.4725,119.35001,341.60001
2142  'Environment professionals',214,229.6500015854836,73.18750084191561,79.43500220775604,77.02750227972865,.51360226,124.4725,119.35001,341.60001
2150  'Research and development mngrs',215,49.75000011920929,12.89250020682812,18.25500035658479,18.60250044614077,.55389446,18.255001,18.602501,49.75
2211  'Medical practitioners',221,430.650003015995,157.1420016493648,91.84100249968469,181.6670043636113,.42418322,310.2655,453.36752,1350.35
2212  'Psychologists',221,268.9000008702278,103.2275011315942,86.53750197216868,79.1350021250546,.46896616,310.2655,453.36752,1350.35
2213  'Pharmacists',221,41.94999986886978,22.79499997198582,6.705000199377537,12.45000034570694,.30822408,310.2655,453.36752,1350.35
2214  'Ophthalmic opticians',221,35.00000005960464,17.19500001892447,6.955000102519989,10.85000017657876,.35371429,310.2655,453.36752,1350.35
2215  'Dental practitioners',221,86.60000038146973,50.90249967947602,13.38750037923455,22.31000041216612,.28340068,310.2655,453.36752,1350.35
2216  'Veterinarians',221,36.70000016689301,19.72749992460012,6.67750021442771,10.29500023648143,.32220709,310.2655,453.36752,1350.35
2217  'Medical radiographers',221,94.40000057220459,52.70000033080578,12.00200022757053,29.69800018891692,.28443855,310.2655,453.36752,1350.35
2218  'Podiatrists',221,26.15000015497208,12.50250021740794,5.637500189244747,8.010000135749578,.36873806,310.2655,453.36752,1350.35
2219  'Health professionals n.e.c.',221,330.0000017285347,150.5250011794269,80.52250188030303,98.95250216219574,.39393562,310.2655,453.36752,1350.35
2221  'Physiotherapists',222,39.00000041723251,20.51000025868416,8.63000026717782,9.860000357031822,.34769231,47.335003,63.7575,206.38448
2222  'Occupational therapists',222,38.8500000834465,18.15250011533499,9.147500202059746,11.5500001758337,.38410553,47.335003,63.7575,206.38448
2223  'Speech and language therapists',222,43.50000005960464,18.61000011488795,9.100000165402889,15.79000025242567,.39068967,47.335003,63.7575,206.38448
2229  'Therapy professionals n.e.c.',222,85.03447544574738,38.08500022441149,20.45750042051077,26.55750060454011,.39673615,47.335003,63.7575,206.38448
2231  'Nurses',223,288.0500013232231,128.7924998048693,62.19500161334872,97.06250292435288,.38439941,71.302505,109.9625,331.14999
2232  'Midwives',223,43.10000026226044,21.09250006824732,9.107500288635492,12.90000032261014,.3609629,71.302505,109.9625,331.14999
2311  'Higher education teaching professionals',231,42.20000022649765,19.26000033691525,12.58250040886924,10.3575002849102,.4208827,458.70001,429.00702,1562.0911
2312  'Further education teaching professionals',231,37.10000014305115,18.12250000983477,10.79500014334917,8.182500228285789,.40124664,458.70001,429.00702,1562.0911
2314  'Secondary education teaching professionals',231,788.0000045895576,388.6595006808639,213.1405043946579,186.2000027210452,.38863009,458.70001,429.00702,1562.0911
2315  'Primary and nursery education teaching professionals',231,87.15000081062317,48.44250037521124,20.720000654459,17.98750035464764,.34094951,458.70001,429.00702,1562.0911
2316  'Special needs education teaching professionals',231,134.5500004887581,78.32750009000301,29.98650054074824,26.23600042238832,.32036045,458.70001,429.00702,1562.0911
2317  'Snr professionals of educational establishments',231,221.3544051647186,78.06100059300661,64.94100159127265,78.59800205007195,.47091904,458.70001,429.00702,1562.0911
2318  'Education advisers and school inspectors',231,.4851808547973633,.1400000005960464,.2800000011920929,.2800000011920929,.43096304,458.70001,429.00702,1562.0911
2319  'Teaching and other educational professionals n.e.c.',231,251.2514289468527,126.6800017096102,106.2545029018074,101.1655027829111,.62422431,458.70001,429.00702,1562.0911
2412  'Barristers and judges',241,61.10000002384186,28.03749994561076,14.68450007215142,18.37800019606948,.39072832,65.151505,96.866501,129.74052
2413  'Solicitors',241,.3900501728057861,.4000000059604645,.0500000007450581,.0500000007450581,.8754763,65.151505,96.866501,129.74052
2419  'Legal professionals n.e.c.',241,68.25047214329243,79.44450063444674,50.41700108908117,78.43850177899003,1.3133426,65.151505,96.866501,129.74052
2421  'Chartered and certified accountants',242,172.5000011920929,55.13250099867582,48.81250122003257,68.55500163510442,.48168117,250.32251,262.05099,733.39832
2423  'Management consultants and business analysts',242,127.9500001072884,40.38900074362755,43.28500095009804,44.2760012075305,.51131696,250.32251,262.05099,733.39832
2424  'Business and financial project mngmnt professionals',242,120.7583009004593,39.7175004594028,37.56250075623393,44.02000094205141,.49332014,250.32251,262.05099,733.39832
"2425  'Actuaries, economists and statisticians'",242,195.6500016450882,48.63500107079744,80.23750235512853,66.77750197052956,.58076286,250.32251,262.05099,733.39832
2426  'Business and related research professionals',242,66.20000034570694,23.74500011280179,20.44750053808093,22.00750045478344,.47509441,250.32251,262.05099,733.39832
"2429  'Business, research and admin professionals n.e.c.'",242,50.34000045061111,15.95750023797154,19.97750035300851,16.41500036045909,.55989271,250.32251,262.05099,733.39832
2431  'Architects',243,91.95000058412552,31.21000055968761,26.56500092893839,34.17500104755163,.47474173,116.2395,165.25551,403.25851
2432  'Town planning officers',243,108.1584982872009,42.86250057443976,34.50500086508691,49.08250099979341,.54592335,116.2395,165.25551,403.25851
2433  'Quantity surveyors',243,41.6000000834465,8.64250024035573,8.85750025510788,24.10000045597553,.50258416,116.2395,165.25551,403.25851
2434  'Chartered surveyors',243,100.6500003933907,38.65500010550022,26.43700070679188,35.55800098925829,.43930453,116.2395,165.25551,403.25851
2436  'Construction project mngrs and related professionals',243,60.90000051259995,18.62500047683716,19.87500045076013,22.34000067785382,.5097701,116.2395,165.25551,403.25851
2442  'Social workers',244,111.550000846386,56.74750079959631,25.69250070862472,29.11000075750053,.36080235,64.610001,73.547501,287.25
2443  'Probation officers',244,27.65000021457672,15.26750023663044,4.585000038146973,7.797500215470791,.30682641,64.610001,73.547501,287.25
2444  'Clergy',244,39.50000005960464,23.60499995201826,8.532500322908163,7.36250027641654,.30920887,64.610001,73.547501,287.25
2449  'Welfare professionals n.e.c.',244,108.5500003695488,53.47250036522746,25.80000070109963,29.27750067785382,.37253571,64.610001,73.547501,287.25
2451  'Librarians',245,45.50000035762787,16.94450018554926,13.8100003823638,14.7455003708601,.46555495,65.082504,66.495499,205.60001
2452  'Archivists and curators',245,160.1000006198883,57.07750043272972,51.27250122278929,51.75000143796206,.48187071,65.082504,66.495499,205.60001
2461  'Quality control and planning engineers',246,112.8000003099442,39.03250048495829,29.87500076368451,43.89250102266669,.45940825,69.047501,94.012505,237.35001
2462  'Quality assurance and regulatory professionals',246,78.50000047683716,17.91500030644238,27.01000064238906,33.57500071823597,.55792993,69.047501,94.012505,237.35001
2463  'Environmental health professionals',246,46.0500003695488,17.34250016510487,12.16250045970082,16.54500038735569,.44375679,69.047501,94.012505,237.35001
"2471  'Journalists, newspaper and periodical editors'",247,131.2500007748604,56.27000034227967,33.12000109627843,41.86000138893723,.41180953,89.899002,108.89851,316
2472  'Public relations professionals',247,110.5000005364418,34.00750015303493,34.18650067970157,42.30600065179169,.50080997,89.899002,108.89851,316
2473  'Advertising accounts mngrs and creative directors',247,74.25000017881393,26.92500020191073,22.59250047057867,24.73250051960349,.47082493,89.899002,108.89851,316
3111  'Laboratory technicians',311,181.216618090868,136.7575010489672,91.02600246295333,107.7165024215356,.79950863,161.291,212.584,481.81125
3112  'Electrical and electronics technicians',311,31.65000003576279,12.74500001966953,7.532500164583325,11.37250019609928,.41765404,161.291,212.584,481.81125
3113  'Engineering technicians',311,67.95000016689301,32.87499994970858,13.50750027410686,21.56750046089292,.35748714,161.291,212.584,481.81125
3114  'Building and civil engineering technicians',311,125.6000008583069,49.20250051468611,32.71500092372298,43.6825014129281,.43436506,161.291,212.584,481.81125
3115  'Quality assurance technicians',311,38.15000021457672,17.31750022619963,8.015000227838755,12.81750036403537,.37807995,161.291,212.584,481.81125
"3116  'Planning, process and production technicians'",311,36.55000030994415,13.34750030189753,7.935000270605087,15.26750047877431,.42595759,161.291,212.584,481.81125
"3119  'Science, engineering and prodctn technicians n.e.c.'",311,.6946175694465637,.0800000056624413,.5600000023841858,.1600000113248825,.55536896,161.291,212.584,481.81125
3121  'Architectural and town planning technicians',312,.2434688061475754,.4349999949336052,.5250000134110451,.3900000043213367,.59673828,24.192501,40.947502,74.850655
3122  'Draughtspersons',312,74.60718262195587,34.07500034570694,23.66750064119697,40.55750075168908,.58903509,24.192501,40.947502,74.850655
3131  'IT operations technicians',313,119.8063997626305,35.7465005852282,38.61900089029223,45.63450082065538,.51279604,46.724003,60.0345,148.95641
3132  'IT user support technicians',313,29.15000015497208,6.645000196993351,8.105000179260969,14.40000023134053,.52504289,46.724003,60.0345,148.95641
3213  'Paramedics',321,46.20000028610229,29.36799991875887,5.95200015231967,10.88000024482608,.24658009,154.54001,207.72351,485.64786
3216  'Dispensing opticians',321,35.90000015497208,18.2785002104938,6.379000174812973,11.24250022508204,.33426881,154.54001,207.72351,485.64786
3217  'Pharmaceutical technicians',321,29.70000004768372,20.03249994665384,3.977500073611736,5.690000114962459,.22971381,154.54001,207.72351,485.64786
3218  'Medical and dental technicians',321,157.100000500679,100.0149993672967,16.56400037929416,40.52100093942136,.23440166,154.54001,207.72351,485.64786
3219  'Health associate professionals n.e.c.',321,216.7478613331914,237.4925011210144,121.6675025261939,139.3900028169155,.88288069,154.54001,207.72351,485.64786
3231  'Youth and community workers',323,112.8000004291534,57.82800053805113,27.77950068563223,27.19250075146556,.3668063,146.47551,158.5365,541.20001
3233  'Child and early years officers',323,82.1000007390976,46.72500009462237,18.49100051447749,16.88400046247989,.32805115,146.47551,158.5365,541.20001
3234  'Housing officers',323,26.45000028610229,8.682500213384628,7.87250017747283,9.895000223070383,.4846881,146.47551,158.5365,541.20001
3235  'Counsellors',323,160.4000005722046,61.88000036031008,44.61500116065145,53.90500121377409,.44618142,146.47551,158.5365,541.20001
3239  'Welfare and housing associate professionals n.e.c.',323,159.4500008821487,61.07250062562525,47.71750093251467,50.66000126302242,.45812169,146.47551,158.5365,541.20001
3311  'NCOs and other ranks',331,71.75000047683716,45.77749984711409,8.627500295639038,17.34500039368868,.24111499,81.042999,120.1955,426.34537
3312  'Police officers (sergeant and below)',331,71.65000033378601,42.87250008434057,10.5750002451241,18.20250050537288,.27461618,81.042999,120.1955,426.34537
3313  'Fire service officers (watch manager and below)',331,83.55000019073486,51.94999952614307,12.38300026487559,19.21700044348836,.26321366,81.042999,120.1955,426.34537
3314  'Prison service officers (below principal officer)',331,49.10000056028366,34.76099988259375,6.7075001206249,7.631500218063593,.21432281,81.042999,120.1955,426.34537
3315  'Police community support officers',331,36.70000004768372,25.22800016403198,4.765000153332949,6.707000136841089,.22121254,81.042999,120.1955,426.34537
3319  'Protective service associate professionals n.e.c.',331,113.595374584198,55.42250056192279,37.9850008636713,51.09250114485621,.55927676,81.042999,120.1955,426.34537
3411  'Artists',341,137.2000010609627,57.19750000163913,29.41250074468553,50.59000197984278,.39874274,225.18851,275.91351,948.75
"3412  'Authors, writers and translators'",341,221.8000006079674,84.39500051736832,73.15500139817595,64.2500010356307,.47466186,225.18851,275.91351,948.75
"3413  'Actors, entertainers and presenters'",341,158.5000007152557,93.62650016136467,31.90450066700578,32.96900058351457,.30529338,225.18851,275.91351,948.75
3414  'Dancers and choreographers',341,58.14999997615814,31.87949980795383,13.85200025886297,12.41850029304624,.34499142,225.18851,275.91351,948.75
3415  'Musicians',341,77.94999992847443,34.04999950528145,20.12250021100044,23.77750034444034,.4106639,225.18851,275.91351,948.75
"3416  'Arts officers, producers and directors'",341,125.600000500679,47.46750044263899,30.71500081382692,47.41750109568238,.43331012,225.18851,275.91351,948.75
"3417  'Phtgrphrs, AV and broadcasting equipment oprtrs'",341,169.550000667572,99.03199988231063,26.02700053527951,44.49100077152252,.28470954,225.18851,275.91351,948.75
3421  'Graphic designers',342,37.1000000834465,10.41750011965632,9.102500196546316,17.5800002515316,.48227763,87.633003,123.90601,363.02509
"3422  'Product, clothing and related designers'",342,325.9250817298889,158.4935007020831,78.53050183691084,106.3260035095736,.40406066,87.633003,123.90601,363.02509
3441  'Sports players',344,26.95000016689301,19.23249998688698,2.305000074207783,5.412500187754631,.1859462,106.465,102.5025,446.95001
"3442  'Sports coaches, instructors and officials'",344,344.950001001358,177.5499999150634,86.69500175118446,80.7050016541034,.36830699,106.465,102.5025,446.95001
3443  'Fitness instructors',344,75.05000030994415,41.1999999396503,17.4650003220886,16.38500028476119,.3418721,106.465,102.5025,446.95001
3511  'Air traffic controllers',351,.2264166623353958,.0949999988079071,.3799999952316284,.4749999940395355,.35924062,27.713001,54.646999,153.20233
3512  'Aircraft pilots and flight engineers',351,92.27591508626938,71.73999952152371,14.83300037868321,34.57700050249696,.34810275,27.713001,54.646999,153.20233
3513  'Ship and hovercraft officers',351,60.70000040531158,28.60500049591064,12.50000041350722,19.59500063583255,.36733937,27.713001,54.646999,153.20233
3520  'Legal associate professionals',352,92.09197759628296,32.43500037863851,23.89500053599477,36.12000074237585,.45557716,23.895,36.119999,92.09198
"3531  'Estimators, valuers and assessors'",353,115.7500003576279,36.94750017300248,25.03250041417778,53.77000085823238,.44853133,219.83501,370.23752,877.20001
3532  'Brokers',353,115.7500003576279,39.51000045984983,30.03750067576766,46.20250079780817,.45908207,219.83501,370.23752,877.20001
3533  'Insurance underwriters',353,39.10000014305115,12.44000002741814,10.2950002849102,16.36500035226345,.47257033,219.83501,370.23752,877.20001
3534  'Finance and investment analysts and advisers',353,114.7000007629395,35.96000066772103,29.77500095590949,48.96500105038285,.47303838,219.83501,370.23752,877.20001
3535  'Taxation experts',353,43.05000007152557,12.70750014856458,13.49250028282404,16.85000025108457,.50911731,219.83501,370.23752,877.20001
3536  'Importers and exporters',353,36.45000028610229,15.20000025629997,7.392500277608633,13.85750052332878,.39290124,219.83501,370.23752,877.20001
3537  'Financial and accounting technicians',353,69.10000026226044,18.17500014603138,14.84500033408403,36.0800004452467,.47590449,219.83501,370.23752,877.20001
3538  'Financial accounts mngrs',353,99.40000081062317,34.85750052705407,22.12250060588121,42.42000123485923,.43594065,219.83501,370.23752,877.20001
3539  'Business and related associate professionals n.e.c.',353,243.9000000953674,81.3300005607307,66.84250165522099,95.72750180587173,.47030035,219.83501,370.23752,877.20001
3541  'Buyers and procurement officers',354,30.3500000834465,11.39500007778406,6.900000166147947,12.05500015988946,.42594728,141.2585,189.3835,509.2446
3542  'Business sales executives',354,47.97788477689028,43.38250036537647,15.85650044307113,25.91100067459047,.60052669,141.2585,189.3835,509.2446
3543  'Marketing associate professionals',354,.7167039513587952,.0800000056624413,.320000022649765,.4000000059604645,.46333382,141.2585,189.3835,509.2446
3544  'Estate agents and auctioneers',354,102.4500004649162,40.44750050827861,24.14250055328012,37.86000052746385,.42042461,141.2585,189.3835,509.2446
3545  'Sales accounts and business development mngrs',354,161.9000003933907,60.44000052288175,49.22000108473003,52.2400012370199,.46534899,141.2585,189.3835,509.2446
3546  'Conference and exhibition mngrs and organisers',354,165.850000679493,60.11300062015653,44.81950124586001,60.91750121675432,.4538936,141.2585,189.3835,509.2446
3550  'Conservation and environmental associate prfssnls',355,39.4026694893837,82.78250039368868,25.94000071659684,35.52750130463392,1.1091571,25.940001,35.5275,39.402668
3561  'Public services associate professionals',356,86.90000015497208,23.1025001835078,26.57000055536628,37.22750078514218,.51995111,145.0155,196.3645,557.35785
3562  'Human resources and industrial relations officers',356,120.8500007390976,43.52250091731548,32.63750096783042,44.69000128656626,.45496485,145.0155,196.3645,557.35785
3563  'Vocational and industrial trainers and instructors',356,84.30000030994415,30.79750039055943,25.47250051423907,28.03000068850815,.46841639,145.0155,196.3645,557.35785
3564  'Careers advisers and vocational guidance specialists',356,38.15000039339066,12.33000038936734,11.56750041246414,14.25250040367246,.49000657,145.0155,196.3645,557.35785
3565  'Inspectors of standards and regulations',356,226.450001180172,105.517500333488,48.76800081506371,72.16450136713684,.37469751,145.0155,196.3645,557.35785
3567  'Health and safety officers',356,.7078202962875366,.8999999761581421,0,0,.43634042,145.0155,196.3645,557.35785
4112  'National government administrative occupations',411,42.05000013113022,14.32000029087067,9.467500194907188,18.26250034943223,.44230083,33.9645,56.065502,136.95
4113  'Local government administrative occupations',411,51.80000042915344,15.93000034615397,12.10000041499734,23.7700005993247,.4630309,33.9645,56.065502,136.95
4114  'Officers of non-governmental organisations',411,43.10000056028366,16.67000021412969,12.39700032025576,14.0330003015697,.45042923,33.9645,56.065502,136.95
4121  'Credit controllers',412,36.50000023841858,14.53750010579824,8.187500195577741,13.77500015869737,.4130137,58.802002,130.71049,310.14999
"4122  'Book-keepers, payroll mngrs and wages clerks'",412,86.15000128746033,25.69750038534403,15.20700038596988,45.24550075363368,.43911493,58.802002,130.71049,310.14999
4123  'Bank and post office clerks',412,62.50000095367432,36.43250031024218,8.31500031799078,17.75250052288175,.27506,58.802002,130.71049,310.14999
4124  'Finance officers',412,35.55000007152557,11.17499990388751,8.850000181235373,15.52500017173588,.46729958,58.802002,130.71049,310.14999
4129  'Financial administrative occupations n.e.c.',412,89.45000052452087,32.7950004376471,18.24250047653913,38.4125009290874,.41865569,58.802002,130.71049,310.14999
4131  'Records clerks and assistants',413,121.0500005483627,49.73000011220574,25.89150080643594,45.42850090377033,.4015345,81.768005,148.061,359.70001
4132  'Pensions and insurance clerks and assistants',413,103.5500004291534,33.75450058653951,23.05500044301152,46.74050103314221,.44833657,81.768005,148.061,359.70001
4133  'Stock control clerks and assistants',413,26.70000022649765,10.21750014089048,5.747500158846378,10.73500024527311,.41629213,81.768005,148.061,359.70001
4134  'Transport and distribution clerks and assistants',413,28.30000019073486,8.10750013589859,7.52000018581748,12.67249996960163,.48962015,81.768005,148.061,359.70001
4135  'Library clerks and assistants',413,33.00000011920929,16.7365001924336,5.514000119641423,10.74950009211898,.32996213,81.768005,148.061,359.70001
4138  'Human resources administrative occupations',413,47.10000020265579,11.32500022649765,14.04000032320619,21.73500039614737,.52882165,81.768005,148.061,359.70001
4151  'Sales administrators',415,46.07099994271994,54.77750057727098,40.80400105565786,47.46850120462477,1.4008433,68.431503,95.094002,161.92101
4159  'Other administrative occupations n.e.c.',415,115.8500004410744,40.59700036048889,27.62750053033233,47.62550101429224,.44402462,68.431503,95.094002,161.92101
4161  'Office mngrs',416,24.05000001192093,8.085000216960907,7.040000148117542,8.925000183284283,.47827443,14.62,21.745001,54.450001
4162  'Office supervisors',416,30.40000015497208,10.00000020116568,7.580000177025795,12.82000018656254,.46019739,14.62,21.745001,54.450001
4211  'Medical secretaries',421,33.25000017881393,9.812500145286322,3.577500119805336,19.86000044643879,.40624061,43.000999,97.769005,220.71001
4212  'Legal secretaries',421,26.35000014305115,9.042500108480453,7.057500153779984,10.25000017136335,.46233398,43.000999,97.769005,220.71001
4213  'School secretaries',421,29.95000010728836,12.760000012815,5.300000123679638,11.89000015705824,.3754591,43.000999,97.769005,220.71001
4214  'Company secretaries',421,14.81000010669231,4.512500088661909,4.67750009521842,6.26000015437603,.52717757,43.000999,97.769005,220.71001
4215  'Personal assistants and other secretaries',421,45.80000048875809,14.39500017464161,11.09550041519105,20.30950049683452,.46397927,43.000999,97.769005,220.71001
4216  'Receptionists',421,20.40000015497208,8.207499882206321,4.37500012293458,7.817500190809369,.40606618,43.000999,97.769005,220.71001
4217  'Typists and related keyboard occupations',421,50.15000003576279,21.85000001080334,6.918000156059861,21.38200017996132,.35112661,43.000999,97.769005,220.71001
5111  'Farmers',511,152.8000000119209,96.57049984671175,16.61400036513805,39.61550091765821,.23836224,41.636501,63.489502,291.28146
5112  'Horticultural trades',511,36.45000034570694,20.44100022315979,8.774000188335776,7.235000196844339,.33995885,41.636501,63.489502,291.28146
5113  'Gardeners and landscape gardeners',511,71.80000054836273,47.71750001981854,11.27600023895502,12.80650038644671,.24622911,41.636501,63.489502,291.28146
5114  'Groundsmen and greenkeepers',511,29.65000027418137,21.48500024527311,4.572500217705965,3.592500146478415,.21479765,41.636501,63.489502,291.28146
5119  'Agricultural and fishing trades n.e.c.',511,.5814756751060486,.1600000113248825,.4000000059604645,.2400000095367432,.25192559,41.636501,63.489502,291.28146
