task_handle,occupation_code,task_description,justification,prob_E0,prob_E1,prob_E2,prob_E3
canalyse,11,Analyzing complex problems in depth,"While some analysis requires uniquely human judgment (E0), LLMs can significantly aid research and synthesis (E1), and integrated LLM-powered applications could further streamline analysis with company-specific data (E2).",0.15,0.35,0.5,0
cfaults,11,Spotting problems or faults,"Some problem identification relies on direct observation and experience (E0), but LLMs can assist by analyzing reports and data (E1), and LLM-powered applications could proactively monitor systems and flag potential issues (E2).",0.25,0.25,0.5,0
ccause,11,Working out the cause of problems or faults,"Determining root causes sometimes requires human intuition (E0), but LLMs can help by analyzing data and suggesting potential causes (E1), and integrated applications could automate root cause analysis using internal data (E2).",0.2,0.3,0.5,0
csolutn,11,Thinking of solutions to problems,"While innovative solutions often require human creativity (E0), LLMs can significantly assist by generating ideas and evaluating options (E1), and LLM-powered applications could automate parts of the solution design process (E2).",0.1,0.4,0.5,0
cspecial,11,Utilizing specialized knowledge or understanding within the context of corporate management and directorship.,"While core expertise remains crucial, LLMs can augment decision-making by providing access to broader knowledge bases and synthesizing information, especially when integrated with existing management systems.",0.2,0.3,0.5,0
cupto,11,Keeping up-to-date with and applying new knowledge relevant to corporate management and directorship.,"LLMs excel at information gathering and synthesis, significantly aiding in staying current with industry trends and research, particularly when integrated with news feeds and specialized databases.",0.05,0.45,0.5,0
cideas,11,"Developing new or improved work processes, products, or services within the scope of corporate management and directorship.","LLMs can significantly contribute to brainstorming and refining new ideas by providing diverse perspectives and automating analysis, especially with integration into project management and innovation platforms.",0.1,0.4,0.5,0
cstats,11,Calculations using more advanced mathematical or statistical procedures,"While some complex statistical analysis might still require expert oversight (E0), LLMs can assist directly with calculations and explanations (E1), and integrated tools could further automate analysis (E2), with some potential for image-based data extraction (E3).",0.15,0.25,0.5,0.1
ccalca,11,"Adding, subtracting, multiplying or dividing numbers","Existing tools like calculators and spreadsheets are highly efficient for basic arithmetic, making significant LLM impact unlikely.",0.9,0.05,0.05,0
cpercent,11,"Calculations using decimals, percentages or fractions","Existing tools are generally sufficient for these calculations, but LLMs could offer some assistance within integrated applications, particularly for more complex scenarios or explanations.",0.75,0.1,0.15,0
cstrength,11,"Carrying, pushing or pulling heavy objects","This task is entirely physical and not applicable to the typical work of corporate managers and directors, thus LLMs offer no time reduction.",1,0,0,0
cstamina,11,Working for long periods on physical activities,"While corporate managers may work long hours, the work is primarily cognitive, not physical; LLMs can assist with cognitive tasks but not physical endurance.",1,0,0,0
chands,11,"Mending, repairing, assembling, constructing or adjusting things","This task is not relevant to the core responsibilities of corporate managers and directors, who primarily focus on strategic decision-making and organizational management.",1,0,0,0
ctools,11,"Knowledge of how to use or operate tools, equipment or machinery","While managers use software 'tools,' LLMs could offer minor assistance (E1) in learning new software or automating simple tasks, but most software usage already benefits from extensive documentation and tutorials.",0.9,0.1,0,0
cplanme,11,Planning one's own activities as a corporate manager or director.,"While personal planning benefits from existing tools, LLMs can enhance efficiency through scheduling, prioritization, and information gathering, especially with integrated applications.",0.2,0.3,0.5,0
cplanoth,11,Planning the activities of others as a corporate manager or director.,"Planning for others involves delegation, resource allocation, and performance tracking, where LLMs can assist with optimization and communication, particularly within integrated platforms.",0.15,0.25,0.6,0
cmytime,11,Organizing one's own time as a corporate manager or director.,"Time management for managers involves scheduling, prioritization, and communication, where LLMs can offer direct assistance and integration with existing tools can further enhance efficiency.",0.25,0.35,0.4,0
cahead,11,Thinking ahead and anticipating future needs and challenges as a corporate manager or director.,"Strategic foresight relies on information analysis and trend prediction, where LLMs can provide valuable insights and support decision-making, though human judgment remains crucial.",0.3,0.4,0.3,0
cimpl,11,Developing plans to put new ideas into practice as a corporate manager or director.,"Implementation planning requires detailed steps, resource allocation, and communication, where LLMs can significantly assist in project management and workflow optimization, especially with integrated tools.",0.1,0.3,0.6,0
cmefeel,11,Managing your own feelings,"Managing one's own feelings is a deeply personal task where LLM impact is limited, though some benefit may be derived from stress management techniques or mindfulness prompts.",0.7,0.2,0.1,0
cothfeel,11,Handling the feelings of other people,"While human empathy remains crucial, LLMs can assist in crafting communications, understanding emotional cues, and suggesting appropriate responses, especially when integrated with communication platforms.",0.4,0.3,0.3,0
clookprt,11,Looking the part,"Looking the part relies primarily on personal style and physical presentation, areas where LLMs have minimal impact, though some image-based advice could be conceivable.",0.9,0.05,0.05,0
csoundprt,11,Sounding the part,"LLMs can significantly improve communication skills by refining language, suggesting talking points, and providing real-time feedback, especially when integrated with communication tools.",0.2,0.4,0.4,0
cpeople,11,"Dealing with people in a managerial context, including communication, negotiation, and relationship management.","While LLMs can assist with communication and scheduling, the core of ""dealing with people"" involves nuanced interpersonal skills less amenable to automation, though LLM-powered applications could improve efficiency.",0.2,0.3,0.5,0
ccaring,11,"Counselling, advising, or caring for customers or clients in a managerial role, focusing on strategic guidance and problem-solving.","LLMs can provide data-driven insights and communication support, but the empathetic and nuanced aspects of counselling and advising limit full automation.",0.3,0.3,0.4,0
cselling,11,"Selling a product or service in a managerial capacity, involving strategic planning, negotiation, and relationship management.","LLMs can significantly assist in sales strategy, communication, and data analysis, but the human element of relationship building and negotiation remains crucial.",0.15,0.35,0.5,0
cproduct,11,"Knowledge of particular products or services relevant to a managerial role, including understanding features, benefits, and market positioning.","LLMs excel at providing and summarizing product information, making them highly effective for knowledge acquisition and dissemination in this context.",0.05,0.5,0.45,0
cmotivat,11,Motivating the staff whom you manage or supervise,"Motivating staff relies heavily on interpersonal skills and emotional intelligence, limiting LLM impact, though they could assist with generating ideas or tracking progress (E1/E2).",0.6,0.2,0.2,0
cthings,11,Keeping a close control over resources,"Existing tools already provide substantial support, but LLM-powered applications could significantly enhance resource allocation, budgeting, and forecasting.",0.1,0.2,0.7,0
ccoach,11,Coaching the staff whom you manage,"While coaching involves interpersonal dynamics, LLMs can assist with generating feedback, suggesting training resources, and tracking progress.",0.4,0.3,0.3,0
ccareers,11,Developing the careers of the staff whom you manage,"LLMs can assist with identifying development opportunities, creating training plans, and tracking progress, but human oversight remains crucial.",0.2,0.3,0.5,0
cfuture,11,Making strategic decisions about the future of your organisation,"LLMs can significantly assist with data analysis, market research, and generating strategic options, but final decisions require human judgment.",0.15,0.35,0.5,0
cteach,12,"Instructing, training, or teaching people, individually or in groups, in the context of managing various businesses like restaurants, hotels, or care facilities.","While in-person instruction benefits from human interaction, LLMs can significantly aid in creating training materials and potentially even delivering standardized training modules, especially with integrated platforms.",0.2,0.3,0.5,0
cspeech,12,"Making speeches or presentations to staff, customers, or stakeholders in the context of managing various businesses.","LLMs can significantly reduce speechwriting time and potentially even assist with delivery through real-time prompting or generation, though the human element remains important.",0.1,0.6,0.3,0
cpersuad,12,"Persuading or influencing others, such as staff, customers, or suppliers, in the context of managing various businesses.","Persuasion relies heavily on interpersonal skills and understanding individual contexts, limiting the direct impact of LLMs, though they can assist with crafting persuasive arguments or generating personalized communication.",0.4,0.3,0.3,0
cteamwk,12,"Working with a team of people in the context of managing and coordinating operations in various businesses like restaurants, hotels, or care facilities.","Teamwork relies heavily on interpersonal communication and dynamics, limiting the potential for significant LLM-driven time reduction, though some assistance is possible with enhanced communication tools.",0.7,0.15,0.15,0
clisten,12,"Listening carefully to colleagues in the context of understanding their perspectives, concerns, and ideas related to business operations, staff management, or customer service.","Active listening is a fundamentally human skill with minimal potential for LLM-driven time reduction, though some tools might offer minor improvements in capturing and summarizing conversations.",0.9,0.05,0.05,0
ccoop,12,"Cooperating with colleagues to achieve shared goals, such as coordinating schedules, resolving customer issues, or implementing new business strategies.","While LLMs can facilitate communication and information sharing, cooperation relies heavily on interpersonal skills and shared understanding, limiting the potential for substantial time reduction.",0.75,0.1,0.15,0
cwrite,12,"Writing material such as forms, notices, or signs in the context of managing various businesses (restaurants, hotels, shops, etc.) or services (care homes, agricultural services). This often involves creating simple, clear, and concise communications for staff, customers, or the public.","LLMs can significantly assist in generating templates and standard text for forms, notices, and signs, leading to substantial time savings, but some customization will still be necessary.",0.2,0.6,0.2,0
cwritesh,12,"Writing short documents like reports, letters, and emails for various purposes, such as communication with staff, customers, suppliers, or regulatory bodies. This task requires clear and concise writing, often tailored to specific audiences and purposes.","LLMs excel at generating short documents, offering significant time savings through drafting, editing, and formatting assistance, but some human oversight is still needed for tone and accuracy.",0.1,0.7,0.2,0
cwritelg,12,"Writing long documents with correct spelling and grammar, such as reports, manuals, articles, or even books, which might be required for internal communication, training materials, marketing, or external publications. This task demands significant writing skill, time, and attention to detail.","While LLMs can significantly assist in drafting and editing long documents, reducing writing time, human oversight remains essential for ensuring accuracy, coherence, and style, especially for complex or nuanced content.",0.1,0.5,0.4,0
cread,12,"Reading written information such as forms, notices, or signs in the context of managing various businesses (restaurants, hotels, shops, etc.) or services (care homes, agricultural services). This often involves quickly understanding instructions, regulations, customer requests, or safety information.","Reading short, simple texts like forms and signs offers minimal opportunity for LLM-driven time savings, as the task is already quick and straightforward.",0.9,0.05,0.05,0
cshort,12,"Reading short documents such as short reports, letters, or emails in the context of business management. This could involve reviewing financial summaries, customer feedback, staff communications, or supplier correspondence.","LLMs can provide summarization and key information extraction for short documents, offering potential time savings, especially when integrated with existing communication tools.",0.4,0.3,0.3,0
clong,12,"Reading long documents such as long reports, manuals, articles, or books in the context of business management. This could involve reviewing industry reports, legal documents, training materials, or technical manuals for equipment.","LLMs excel at summarizing and extracting key information from lengthy documents, offering substantial potential time savings for managers who need to quickly grasp essential details.",0.15,0.5,0.35,0
canalyse,12,Analyzing complex problems in depth,"While some problems require direct hands-on investigation limiting LLM impact (E0), LLMs can assist with research and information gathering (E1), and integrated LLM applications could provide more structured problem-solving frameworks (E2).",0.2,0.3,0.5,0
cfaults,12,Spotting problems or faults,"Many problems require direct observation, limiting immediate LLM impact (E0), but LLMs could help analyze data to identify trends or anomalies (E1/E2), and image recognition could automate some visual inspections (E3).",0.4,0.2,0.3,0.1
ccause,12,Working out the cause of problems or faults,"While some root cause analysis requires direct investigation (E0), LLMs can assist by providing relevant information, suggesting potential causes, and analyzing data for patterns (E1/E2).",0.25,0.35,0.4,0
csolutn,12,Thinking of solutions to problems,"LLMs can significantly assist by generating potential solutions, providing relevant information, and facilitating brainstorming (E1), with further potential for time savings through integration with task management or problem-solving tools (E2).",0.15,0.45,0.4,0
cspecial,12,"Utilizing specialized knowledge or understanding within the context of managing diverse businesses like farms, hotels, restaurants, leisure centers, or care facilities.","While LLMs can provide information relevant to specialized knowledge, much of this task relies on experience and direct application, making E0 likely; however, LLMs can still assist with research and problem-solving (E1 and E2), while image processing is irrelevant (E3).",0.4,0.3,0.3,0
cupto,12,"Keeping up-to-date with and applying new knowledge relevant to managing various businesses (e.g., new regulations, industry trends, management techniques).","LLMs excel at information gathering and synthesis, making E1 highly probable; integration with industry-specific platforms could further enhance efficiency (E2), while image processing is not relevant (E3).",0.1,0.6,0.3,0
cideas,12,"Developing new or improved work processes, products, or services within the context of managing various businesses, such as implementing new customer service strategies in a restaurant or optimizing staff schedules in a care facility.","LLMs can assist with brainstorming and process optimization, making E1 likely; integration with business management tools could further enhance efficiency (E2), while image processing is not a primary factor (E3).",0.2,0.4,0.4,0
cstats,12,Calculations using more advanced mathematical or statistical procedures,"While existing tools handle basic statistics, LLMs could enhance more complex analysis within specialized software, but image processing is irrelevant.",0.2,0.3,0.5,0
ccalca,12,"Adding, subtracting, multiplying or dividing numbers","Calculators and spreadsheets already efficiently handle basic arithmetic, minimizing LLM impact.",0.9,0.05,0.05,0
cpercent,12,"Calculations using decimals, percentages or fractions","Existing tools like calculators and spreadsheets are highly efficient for these calculations, offering minimal LLM impact.",0.85,0.1,0.05,0
cstrength,12,"Carrying, pushing, or pulling heavy objects","This task is primarily physical, with minimal potential for LLM impact except perhaps through optimized scheduling (E2).",0.95,0,0.05,0
cstamina,12,Working for long periods on physical activities,LLMs have little direct impact on physical stamina; potential E2 gains relate to optimized scheduling and task management reducing overall physical workload.,0.95,0,0.05,0
chands,12,"Mending, repairing, assembling, constructing, or adjusting things","While primarily manual, LLMs could offer some guidance (E1) or integrate with repair manuals/AR applications (E2), and image recognition might aid diagnostics (E3), but significant time reduction is limited by the hands-on nature of the tasks.",0.7,0.05,0.2,0.05
ctools,12,"Knowledge of how to use or operate tools, equipment, or machinery","LLMs could provide instructions or tutorials (E1), integrate with equipment interfaces for real-time guidance (E2), or use image recognition for tool identification or troubleshooting (E3), but practical application and experience remain crucial.",0.5,0.2,0.25,0.05
cplanme,12,"Planning one's own activities within the context of managing a business, such as scheduling meetings, prioritizing tasks, and allocating time for various responsibilities.","While basic planning can be done with existing tools, LLMs can significantly aid prioritization and scheduling, especially when integrated with calendar and task management applications.",0.2,0.4,0.4,0
cplanoth,12,"Planning the activities of others, such as assigning tasks to employees, creating work schedules, and coordinating team projects, within the context of managing a business like a restaurant, hotel, or shop.","LLMs can assist in task allocation and scheduling, and integrated LLM-powered applications could significantly optimize workforce management.",0.15,0.35,0.5,0
cmytime,12,"Organizing one's own time effectively to manage various responsibilities and tasks associated with running a business, such as prioritizing tasks, scheduling meetings, and allocating time for different activities.","While existing tools help with time management, LLMs can enhance prioritization and scheduling, especially with integration into calendar applications.",0.25,0.35,0.4,0
cahead,12,"Thinking ahead and anticipating future needs and challenges related to business operations, such as forecasting demand, planning for seasonal changes, and developing contingency plans.","LLMs can assist in analyzing trends and generating forecasts, but human judgment remains crucial for strategic decision-making.",0.3,0.4,0.3,0
cimpl,12,"Developing detailed plans to put new ideas into practice within a business context, including outlining steps, allocating resources, and setting timelines for implementation.","LLMs can assist in outlining steps and structuring plans, and integrated project management tools could significantly streamline implementation.",0.2,0.3,0.5,0
cmefeel,12,"Managing your own feelings in the context of managing and coordinating operations in various businesses like restaurants, hotels, and care facilities.","Managing one's own feelings is a deeply personal and internal process, unlikely to be significantly impacted by LLMs, though some mindfulness or stress-management apps (E2) might offer minor assistance.",0.9,0.05,0.05,0
cothfeel,12,"Handling the feelings of other people, such as staff, customers, or clients, in the context of managing various businesses like restaurants, hotels, and care facilities.","While human empathy remains crucial, LLMs could provide some assistance (E1) with generating appropriate responses to customer complaints or staff concerns, and CRM systems with sentiment analysis (E2) could further enhance interactions.",0.6,0.2,0.2,0
clookprt,12,"Looking the part, maintaining a professional appearance appropriate for the specific business environment (restaurant, hotel, care facility, etc.).","Looking the part is inherently a physical and personal task, unlikely to be significantly impacted by LLMs, though some AR applications (E2) might offer virtual styling advice.",0.95,0,0.05,0
csoundprt,12,"Sounding the part, communicating effectively and professionally with staff, customers, and clients in various business settings.","LLMs can directly assist (E1) with drafting professional emails or generating scripts for customer interactions, and integrated communication tools (E2) could further enhance real-time conversations.",0.4,0.3,0.3,0
cpeople,12,"Dealing with people in the context of managing various businesses like restaurants, hotels, or care facilities.","While LLMs can enhance some communication aspects, the core of ""dealing with people"" in managerial roles relies heavily on interpersonal skills and emotional intelligence, limiting direct time reduction from LLMs alone.",0.4,0.2,0.35,0.05
ccaring,12,"Counselling, advising, or caring for customers or clients in settings like care facilities, travel agencies, or retail shops.","LLMs can provide information and support, but human empathy and nuanced understanding remain crucial, especially in care-related roles, making significant time reduction from LLMs alone less likely.",0.3,0.25,0.4,0.05
cselling,12,"Selling a product or service in various businesses like retail shops, restaurants, hotels, or travel agencies.","LLMs can assist with product information and potentially personalize recommendations, but the persuasive and adaptive nature of sales interactions limits the direct time reduction from LLMs alone.",0.2,0.3,0.45,0.05
cproduct,12,"Knowledge of particular products or services relevant to businesses like restaurants, hotels, garages, or retail shops.","LLMs excel at providing quick access to and summarizing product information, potentially significantly reducing time spent on research and information retrieval.",0.1,0.4,0.45,0.05
cmotivat,12,Motivating the staff whom you manage or supervise,"Motivating staff relies heavily on interpersonal skills and emotional intelligence, limiting the impact of LLMs, though they can offer some support in communication and feedback.",0.6,0.2,0.2,0
cthings,12,Keeping a close control over resources,"LLM-powered applications integrating with existing inventory, accounting, and CRM systems can significantly improve resource management and tracking.",0.1,0.2,0.7,0
ccoach,12,Coaching the staff whom you manage,"While coaching involves interpersonal aspects, LLMs can assist with generating training materials, providing feedback templates, and tracking progress.",0.4,0.3,0.3,0
ccareers,12,Developing the careers of the staff whom you manage,"LLMs can assist in identifying training opportunities, creating development plans, and tracking employee progress, but human oversight remains crucial.",0.2,0.4,0.4,0
cfuture,12,Making strategic decisions about the future of your organisation,"LLMs can analyze market trends, summarize reports, and generate potential scenarios, aiding strategic decision-making, but human judgment remains essential.",0.2,0.3,0.5,0
cteach,21,"Instructing, training, or teaching people, individually or in groups","While in-person elements remain crucial for teaching, LLMs can significantly aid content creation, personalized learning plans, and interactive training modules, especially with integrated platforms.",0.15,0.35,0.45,0.05
cspeech,21,Making speeches or presentations,"LLMs can significantly assist in drafting, structuring, and enhancing presentations, but delivery and audience interaction still rely on human skills.",0.1,0.4,0.45,0.05
cpersuad,21,Persuading or influencing others,"LLMs can enhance persuasion by providing data-driven arguments and refining communication, but interpersonal dynamics and emotional intelligence remain essential.",0.25,0.35,0.35,0.05
cteamwk,21,"Working with a team of people in the context of scientific research, engineering projects, or IT development.","While core teamwork relies on human interaction (E0), LLMs can directly facilitate communication and knowledge sharing (E1), and specialized project management tools powered by LLMs could significantly enhance team efficiency (E2).",0.2,0.2,0.6,0
clisten,21,"Listening carefully to colleagues during discussions, presentations, or meetings in a scientific/technical setting.","Active listening is fundamentally human (E0), but LLMs can assist with note-taking and summarizing key points (E1), with limited potential for further time reduction through specialized applications (E2).",0.6,0.3,0.1,0
ccoop,21,"Cooperating with colleagues on research projects, experiments, or technical development in a scientific/technical setting.","While fundamental cooperation relies on human interaction (E0), LLMs can directly support communication and knowledge sharing (E1), and LLM-powered collaborative platforms could substantially improve team efficiency (E2).",0.2,0.2,0.6,0
cwrite,21,"Writing material such as forms, notices, or signs in the context of scientific research, engineering, or technology professions.","While forms and notices are often standardized, LLMs can significantly assist in generating content, especially for technical or specialized signage, but integration with specific systems could further enhance efficiency.",0.2,0.6,0.2,0
cwritesh,21,"Writing short documents such as short reports, letters, or emails in the context of scientific research, engineering, or technology professions.","LLMs excel at generating short documents, especially for technical communication, and integration with email or reporting tools could further streamline the process.",0.1,0.6,0.3,0
cwritelg,21,"Writing long documents with correct spelling and grammar, such as long reports, manuals, articles, or books, in the context of scientific research, engineering, or technology professions.","LLMs can significantly assist in drafting and editing long technical documents, and integration with specialized software could further enhance efficiency, though human oversight remains crucial for quality control and ensuring accuracy.",0.1,0.5,0.4,0
cread,21,"Reading written information such as forms, notices, or signs in the context of scientific research, engineering, and technology professions.","Reading short, simple texts like forms and signs offers minimal potential for LLM-driven time savings as they are already quick tasks.",0.9,0.05,0.05,0
cshort,21,"Reading short documents such as short reports, letters, or emails in the context of scientific research, engineering, and technology professions.","LLMs can summarize and extract key information from short documents, potentially saving time, but human review is often still necessary.",0.4,0.3,0.3,0
clong,21,"Reading long documents such as long reports, manuals, articles, or books in the context of scientific research, engineering, and technology professions.","LLMs excel at summarizing, analyzing, and extracting key information from lengthy technical documents, offering substantial time savings for researchers and engineers.",0.1,0.5,0.4,0
canalyse,21,Analysing complex problems in depth,"LLMs can significantly aid in research, data analysis, and exploring potential solutions, but human expertise remains crucial for critical evaluation and validation.",0.15,0.45,0.35,0.05
cfaults,21,Spotting problems or faults,"While LLMs can assist in identifying patterns and anomalies, some problems require direct observation or specialized equipment, limiting LLM impact.",0.25,0.35,0.3,0.1
ccause,21,Working out the cause of problems or faults,"LLMs can assist in hypothesis generation and exploring potential causes, but physical experiments or specialized analyses may still be necessary.",0.2,0.4,0.3,0.1
csolutn,21,Thinking of solutions to problems,"LLMs excel at generating diverse solutions and exploring different approaches, significantly aiding the ideation process.",0.1,0.5,0.3,0.1
cspecial,21,Specialist knowledge or understanding,"While core expertise remains crucial, LLMs can significantly augment specialist knowledge access and application, especially when integrated with specialized research tools.",0.05,0.45,0.5,0
cupto,21,Keeping up-to-date with and applying new knowledge to your job,"LLMs excel at summarizing and synthesizing new research, directly impacting knowledge updates, with further potential through integration with research platforms.",0.05,0.6,0.35,0
cideas,21,"Developing new or improved work processes, products or services","LLMs can significantly aid ideation and process improvement by providing new perspectives and automating research, with potential for further enhancement through integration with design and development tools.",0.1,0.5,0.4,0
cstats,21,Calculations using more advanced mathematical or statistical procedures (Note: Using a calculator or computer if necessary.),"While existing statistical software is powerful, LLMs can streamline complex analyses, especially when integrated with specialized tools, though image processing has limited impact.",0.15,0.35,0.45,0.05
ccalca,21,"Adding, subtracting, multiplying or dividing numbers (Note: Using a calculator or computer if necessary.)","Calculators and spreadsheets already provide highly efficient solutions for basic arithmetic, minimizing the potential impact of LLMs.",0.9,0.05,0.05,0
cpercent,21,"Calculations using decimals, percentages or fractions (Note: Using a calculator or computer if necessary.)","Existing tools like calculators and spreadsheets are highly efficient for these calculations, offering minimal opportunity for significant time savings from LLMs.",0.85,0.1,0.05,0
cstrength,21,"Carrying, pushing or pulling heavy objects","This task is purely physical and LLMs offer no direct assistance in carrying, pushing, or pulling heavy objects.",1,0,0,0
cstamina,21,Working for long periods on physical activities,LLMs do not impact physical stamina or endurance required for extended physical activities.,1,0,0,0
chands,21,"Mending, repairing, assembling, constructing or adjusting things","While primarily hands-on, LLMs could provide instructions or integrate with AR tools (E2) for some time savings, and image recognition (E3) might help in limited scenarios.",0.6,0.1,0.25,0.05
ctools,21,"Knowledge of how to use or operate tools, equipment or machinery","LLMs can provide instructions and documentation (E1), and further integration with equipment or AR overlays (E2) could offer additional time savings, with image recognition (E3) potentially assisting in some cases.",0.3,0.4,0.25,0.05
cplanme,21,Planning your own activities,"While existing tools help, LLMs can significantly improve personal activity planning through direct interaction (E1) and integration with scheduling/project management tools (E2).",0.2,0.4,0.4,0
cplanoth,21,Planning the activities of others,"LLMs can assist in planning activities for others through task delegation, scheduling, and resource allocation, especially with integrated project management tools (E2).",0.15,0.35,0.5,0
cmytime,21,Organising one's own time,"Existing tools already offer time management features, but LLMs can enhance organization through prioritization and scheduling suggestions (E1 and E2).",0.25,0.35,0.4,0
cahead,21,Thinking ahead,"While LLMs can support strategic thinking by providing information and analysis, 'thinking ahead' remains a largely human cognitive process (E0), with some support from LLMs (E1) and integrated tools (E2).",0.5,0.3,0.2,0
cimpl,21,Developing plans to put new ideas into practice,"LLMs can significantly aid in implementation planning by outlining steps, allocating resources, and generating project timelines, especially with integrated project management tools (E2).",0.1,0.4,0.5,0
cmefeel,21,Managing your own feelings,"Managing one's feelings is a personal task with limited applicability for LLMs in this occupation, though some mental health/wellbeing apps could offer minor assistance.",0.9,0.05,0.05,0
cothfeel,21,Handling the feelings of other people,"While LLMs could offer some communication guidance or emotional intelligence tips, handling others' feelings primarily relies on interpersonal skills and empathy, where LLMs have limited impact in this occupation.",0.7,0.15,0.15,0
clookprt,21,Looking the part,"Looking the part relies on personal style and professional dress codes, with minimal LLM impact in this occupation.",0.95,0.05,0,0
csoundprt,21,Sounding the part,"LLMs can assist with communication skills like refining presentations or emails, but conveying expertise and confidence also relies on experience and domain knowledge, making a significant time reduction unlikely in this occupation.",0.6,0.2,0.2,0
cpeople,21,"Dealing with people in the context of scientific research, engineering, and technology professions.","While interpersonal skills remain crucial, LLMs can enhance communication and collaboration through tools like smart email assistants and meeting summaries.",0.2,0.3,0.5,0
ccaring,21,"Counselling, advising, or caring for customers or clients in technical fields.","LLMs can augment advising by providing quick access to information and generating reports, but human expertise is still essential for nuanced advice.",0.3,0.4,0.3,0
cselling,21,"Selling a product or service related to science, research, engineering, or technology.","LLMs can significantly aid sales by generating marketing materials, answering customer queries, and personalizing sales pitches.",0.2,0.4,0.4,0
cproduct,21,"Knowledge of particular products or services in science, research, engineering, or technology.","LLMs excel at providing quick and comprehensive access to product information, documentation, and technical specifications, significantly reducing research time.",0.05,0.6,0.35,0
cmotivat,21,Motivating the staff whom you manage or supervise,"While LLMs can offer suggestions for motivational techniques, the deeply interpersonal nature of motivation within scientific teams limits significant time reduction.",0.6,0.2,0.2,0
cthings,21,Keeping a close control over resources,LLM-powered applications integrating with existing project management and resource allocation tools could significantly improve efficiency in resource control.,0.1,0.2,0.7,0
ccoach,21,Coaching the staff whom you manage,"LLMs can provide helpful resources and feedback suggestions, but the personalized nature of coaching limits overall time reduction potential.",0.4,0.3,0.3,0
ccareers,21,Developing the careers of the staff whom you manage,"LLMs can assist in identifying career development resources and tracking progress, but human input remains crucial for personalized guidance.",0.2,0.4,0.4,0
cfuture,21,Making strategic decisions about the future of your organisation,"LLMs can analyze trends and provide data-driven insights, but high-level strategic decision-making still requires human judgment and vision.",0.2,0.4,0.4,0
cteach,22,"Instructing, training, or teaching people, individually or in groups, in the context of healthcare.","While some teaching requires in-person interaction (E0), LLMs can assist with content creation and personalized learning plans (E1, E2), with minor potential for image-based enhancements (E3).",0.15,0.35,0.45,0.05
cspeech,22,"Making speeches or presentations in the context of healthcare, such as presenting research findings, conducting grand rounds, or delivering public health announcements.","LLMs can significantly assist with drafting and refining presentations (E1), and integration with presentation software could further enhance efficiency (E2), with limited impact from image processing (E3).",0.1,0.4,0.45,0.05
