task_handle,occupation_code,task_description,justification,prob_E0,prob_E1,prob_E2,prob_E3
ccaring,11,"Counselling, advising, or caring for customers or clients in a managerial role, focusing on strategic guidance and problem-solving.","LLMs can provide data-driven insights and communication support, but empathetic counselling and nuanced advice still rely heavily on human judgment, though LLM applications could improve information delivery and tracking.",0.3,0.3,0.4,0.0
cselling,11,"Selling a product or service at a strategic level, involving presentations, negotiations, and relationship building.","LLMs can assist with presentation preparation, market research, and lead generation, but high-level sales often involve complex negotiations and relationship management that are less amenable to full automation, though LLM-powered applications could enhance efficiency.",0.2,0.3,0.5,0.0
cproduct,11,Possessing and applying knowledge of particular products or services relevant to the organization's operations and market.,"LLMs excel at quickly synthesizing and retrieving product/service information, significantly aiding managers in staying up-to-date and making informed decisions, with further potential for integration into workflows and knowledge bases.",0.05,0.45,0.5,0.0
cmotivat,11,Motivating the staff whom you manage or supervise,"Motivating staff relies heavily on interpersonal skills and emotional intelligence, limiting LLM impact, though they could assist with generating ideas or tracking performance (E1/E2).",0.6,0.2,0.2,0.0
cthings,11,Keeping a close control over resources,"LLM-powered applications integrating with existing ERP and financial software could significantly improve resource management and tracking, automating reporting and analysis.",0.1,0.2,0.7,0.0
ccoach,11,Coaching the staff whom you manage,"While coaching involves interpersonal dynamics, LLMs can assist with generating feedback, suggesting training resources, and tracking progress.",0.4,0.3,0.3,0.0
ccareers,11,Developing the careers of the staff whom you manage,"LLMs can assist with career planning by analyzing skills gaps, suggesting training programs, and tracking progress, especially when integrated with HRIS systems.",0.2,0.3,0.5,0.0
cfuture,11,Making strategic decisions about the future of your organisation,"LLMs can significantly aid strategic decision-making by analyzing market trends, summarizing reports, and generating potential scenarios, though human oversight remains crucial.",0.2,0.4,0.4,0.0
cteach,12,"Instructing, training, or teaching people, individually or in groups","While in-person instruction benefits from human interaction, LLMs can significantly aid in content creation, personalized learning plans, and potentially automated training modules, especially when combined with other software.",0.2,0.4,0.35,0.05
cspeech,12,Making speeches or presentations,"LLMs excel at generating and refining speech content, offering substantial time savings for managers; integration with presentation software could further enhance efficiency.",0.1,0.6,0.25,0.05
cpersuad,12,Persuading or influencing others,"Persuasion relies on interpersonal dynamics, but LLMs can assist by crafting compelling arguments, tailoring messages, and providing data-driven insights, especially when integrated with CRM or communication tools.",0.3,0.3,0.35,0.05
cteamwk,12,"Working with a team of people in the context of managing and coordinating operations in various businesses like restaurants, hotels, or care facilities.","Teamwork relies heavily on interpersonal communication and dynamics, limiting the potential for significant time reduction from LLMs, though some assistance is possible with LLM-powered applications.",0.7,0.15,0.15,0.0
clisten,12,"Listening carefully to colleagues in the context of managing and coordinating operations in various businesses like restaurants, hotels, or care facilities.",Listening is a fundamental human interaction with minimal potential for LLM-driven time reduction.,0.9,0.1,0.0,0.0
ccoop,12,"Cooperating with colleagues in the context of managing and coordinating operations in various businesses like restaurants, hotels, or care facilities.","Cooperation, similar to teamwork, relies heavily on interpersonal skills and dynamics, limiting the potential for significant time reduction from LLMs, though some assistance is possible with LLM-powered applications.",0.7,0.15,0.15,0.0
cwrite,12,"Writing material such as forms, notices, or signs in the context of managing various businesses (restaurants, hotels, shops, etc.) or services (care homes, agricultural services). This often involves creating simple, concise, and informative content for staff, customers, or the public.","While simple forms and notices can be templated (E0), LLMs can assist in generating variations or customizing content (E1), and integrated applications could automate form creation based on specific needs (E2).",0.2,0.4,0.4,0.0
cwritesh,12,"Writing short documents like reports, letters, or emails for various managerial purposes, such as staff communication, customer service, or reporting to higher management. This involves clear and concise writing, often requiring specific formatting and professional tone.","LLMs can significantly assist in drafting and editing short documents (E1), and integration with email or reporting tools can further enhance efficiency (E2), though some tasks may remain fully manual (E0).",0.1,0.5,0.4,0.0
cwritelg,12,"Writing long documents like reports, manuals, or articles with correct spelling and grammar, potentially for internal training, business proposals, or external communication. This requires substantial writing effort, research, and attention to detail.","LLMs excel at generating and editing long-form text (E1), offering substantial time savings, while specialized writing tools with LLM integration can further streamline the process (E2), though some manual review and editing will likely remain necessary (E0).",0.15,0.6,0.25,0.0
cread,12,"Reading written information such as forms, notices, or signs in the context of managing various businesses (restaurants, hotels, shops, etc.) or services (care homes, agricultural services). This often involves quickly understanding instructions, regulations, customer requests, or safety information.","Reading short, simple texts like forms and signs offers minimal potential for LLM-driven time savings, as the task is already quick and straightforward.",0.9,0.05,0.05,0.0
cshort,12,"Reading short documents such as short reports, letters, or emails in the context of business management. This could involve reviewing financial summaries, customer feedback, staff communications, or supplier correspondence.","LLMs can provide summarization and key information extraction for short documents, but full comprehension is often still necessary, especially in nuanced communication.",0.4,0.3,0.3,0.0
clong,12,"Reading long documents such as long reports, manuals, articles, or books in the context of business management. This might involve analyzing market research, reviewing complex regulations, or studying industry best practices.","LLMs excel at summarizing and extracting key information from lengthy documents, offering substantial potential time savings for managers who need to quickly grasp essential details.",0.15,0.45,0.4,0.0
canalyse,12,Analyzing complex problems in depth,"While some problems require direct human oversight (E0), LLMs can assist with research and data analysis (E1), and integrated applications could further streamline the process (E2), but image processing is unlikely to be relevant (E3).",0.2,0.3,0.5,0.0
cfaults,12,Spotting problems or faults,"Many problems require direct observation and human judgment (E0), but LLMs can assist with data analysis to identify trends and anomalies (E1), and integrated systems could automate monitoring and alerts (E2), with limited impact from image processing (E3).",0.4,0.2,0.4,0.0
ccause,12,Working out the cause of problems or faults,"Determining root causes often requires human expertise and investigation (E0), but LLMs can assist by providing relevant information and suggesting potential causes (E1), and integrated systems could automate diagnostics and troubleshooting (E2), with minimal impact from image processing (E3).",0.3,0.3,0.4,0.0
csolutn,12,Thinking of solutions to problems,"While some solutions require creative human input (E0), LLMs can assist by generating ideas and suggesting best practices (E1), and integrated systems could automate solution implementation and evaluation (E2), with limited relevance for image processing (E3).",0.2,0.4,0.4,0.0
cspecial,12,"Utilizing specialized knowledge or understanding within the context of managing diverse businesses like farms, hotels, restaurants, leisure centers, or care facilities.","While LLMs can provide information access (E1) and potential integration with management tools (E2), practical application of specialized knowledge often relies on experience and human judgment (E0), with no significant image component (E3).",0.4,0.3,0.3,0.0
cupto,12,"Staying current with industry trends, regulations, and best practices relevant to managing various businesses (e.g., agriculture, hospitality, care) and applying this new knowledge to improve operations.","LLMs excel at information gathering and summarization (E1), making it highly probable they can reduce time spent on staying updated, with further potential through integration with industry-specific platforms (E2), while existing tools are less efficient (E0) and image processing is not relevant (E3).",0.1,0.6,0.3,0.0
cideas,12,"Developing new or improved work processes, products, or services within the context of managing businesses like farms, hotels, restaurants, or care facilities, considering factors like efficiency, customer satisfaction, and cost-effectiveness.","LLMs can contribute significantly to idea generation and process improvement (E1), and integration with business management tools could further enhance this (E2), but human oversight and practical implementation remain crucial (E0), with no image processing relevance (E3).",0.2,0.4,0.4,0.0
cstats,12,Calculations using more advanced mathematical or statistical procedures,"While existing tools handle basic calculations, LLMs could streamline more complex statistical analysis, especially when integrated with specialized software.",0.2,0.3,0.5,0.0
ccalca,12,"Adding, subtracting, multiplying or dividing numbers","Calculators and spreadsheets already provide efficient solutions for basic arithmetic, limiting the impact of LLMs.",0.9,0.05,0.05,0.0
cpercent,12,"Calculations using decimals, percentages or fractions","Existing tools like calculators and spreadsheets are highly efficient for these calculations, offering minimal opportunity for significant time savings from LLMs.",0.85,0.1,0.05,0.0
cstrength,12,"Carrying, pushing, or pulling heavy objects","This task is primarily physical, with minimal potential for LLM impact except perhaps through optimized scheduling (E2).",0.95,0.0,0.05,0.0
cstamina,12,Working for long periods on physical activities,LLMs have little direct impact on physical stamina; potential E2 benefits relate to optimized scheduling and task management reducing overall physical workload.,0.95,0.0,0.05,0.0
chands,12,"Mending, repairing, assembling, constructing, or adjusting things","While primarily hands-on, LLMs could offer some guidance (E1) or integrate with repair manuals/AR applications (E2), and potentially use image recognition for diagnostics (E3).",0.7,0.05,0.2,0.05
ctools,12,"Knowledge of how to use or operate tools, equipment, or machinery","LLMs can provide instructions (E1), integrate with training materials/AR (E2), and potentially use image recognition for tool identification or troubleshooting (E3), but hands-on experience remains crucial (E0).",0.5,0.2,0.25,0.05
cplanme,12,"Planning one's own activities within the context of managing a business, such as scheduling meetings, prioritizing tasks, and allocating time for various responsibilities.","While basic planning can be done with existing tools, LLMs can significantly aid prioritization and scheduling, especially with integration into calendar and task management applications.",0.2,0.4,0.4,0.0
cplanoth,12,"Planning the activities of others, such as assigning tasks to employees, creating work schedules, and coordinating team projects within a business setting like a restaurant, hotel, or shop.","LLMs can assist in task allocation and scheduling, and integrated LLM-powered applications could significantly optimize workforce management.",0.15,0.35,0.5,0.0
cmytime,12,Organizing one's own time effectively to manage various responsibilities and tasks within a business management role.,"Existing tools offer some time management capabilities, but LLMs and integrated applications can further optimize scheduling and prioritization.",0.25,0.35,0.4,0.0
cahead,12,"Thinking ahead and anticipating future needs and challenges within the context of managing a business, such as forecasting demand, planning for seasonal changes, or developing contingency plans.","While human judgment is crucial, LLMs can assist in analyzing trends and generating potential scenarios for future planning.",0.3,0.4,0.3,0.0
cimpl,12,"Developing plans to put new ideas into practice within a business context, such as creating implementation strategies, outlining resource requirements, and setting timelines for new initiatives.","LLMs can assist in outlining steps, identifying resources, and creating timelines for implementing new ideas, with potential for further enhancement through integrated project management tools.",0.2,0.4,0.4,0.0
cmefeel,12,"Managing your own feelings in the context of managing and coordinating operations in various businesses like restaurants, hotels, and care facilities.","Managing one's own feelings is a deeply personal and internal process, unlikely to be significantly impacted by LLMs, though some mindfulness or stress-management apps (E2) might offer minor assistance.",0.9,0.05,0.05,0.0
cothfeel,12,"Handling the feelings of other people, such as staff, customers, or clients in the context of managing various businesses like restaurants, hotels, and care facilities.","While human empathy remains crucial, LLMs could provide some assistance (E1) in understanding emotional cues or suggesting appropriate responses, and CRM systems with sentiment analysis (E2) could further enhance interactions.",0.6,0.2,0.2,0.0
clookprt,12,"Looking the part, meaning presenting a professional appearance appropriate for the specific business context (restaurant, hotel, care facility, etc.).","Looking the part is primarily a physical aspect involving attire and grooming, with minimal potential for LLM impact, though some AR applications (E2) might offer virtual styling advice.",0.95,0.0,0.05,0.0
csoundprt,12,"Sounding the part, meaning communicating effectively and professionally in verbal interactions with staff, customers, or clients in the context of managing various businesses.","LLMs can directly assist (E1) with drafting professional communications or suggesting appropriate phrasing, and integrated communication tools (E2) could further enhance real-time interactions.",0.5,0.3,0.2,0.0
cpeople,12,"Dealing with people in the context of managing various businesses like restaurants, hotels, or care facilities.","While LLMs can enhance communication and information access (E1, E2), the core of 'dealing with people' involves interpersonal skills and emotional intelligence, which are less amenable to automation (E0); image processing has limited applicability (E3).",0.4,0.2,0.35,0.05
ccaring,12,"Counselling, advising, or caring for customers or clients in settings like care homes, travel agencies, or retail shops.","Empathy and personalized care are central to this task, limiting direct LLM impact (E0, E1); however, LLMs can assist with information retrieval and generating tailored advice within integrated applications (E2), while image processing has minimal relevance (E3).",0.5,0.15,0.3,0.05
cselling,12,"Selling a product or service in various businesses, from shops and garages to travel agencies and hotels.","LLMs can directly assist with product information and persuasive language (E1), but integrated applications offering personalized recommendations and automated sales processes have greater potential for time reduction (E2); image processing has niche applications (E3).",0.2,0.25,0.5,0.05
cproduct,12,"Knowledge of particular products or services relevant to the specific business managed, such as farm products, hotel amenities, or car parts.","LLMs excel at providing quick access to and summarizing product information (E1), and integration with inventory or CRM systems can further enhance efficiency (E2), making baseline knowledge retrieval less time-consuming (E0); image-based product search has limited impact (E3).",0.05,0.5,0.4,0.05
cmotivat,12,Motivating the staff whom you manage or supervise,"Motivating staff relies heavily on interpersonal skills and emotional intelligence, limiting LLM impact, though they could assist with generating ideas or tracking performance (E1/E2).",0.6,0.2,0.2,0.0
cthings,12,Keeping a close control over resources,"LLM-powered applications integrating with existing inventory, accounting, and CRM systems could significantly improve resource management and tracking.",0.1,0.2,0.7,0.0
ccoach,12,Coaching the staff whom you manage,"While coaching involves interpersonal aspects, LLMs can assist with generating training materials, tracking progress, and providing feedback, making E1 and E2 relevant.",0.4,0.3,0.3,0.0
ccareers,12,Developing the careers of the staff whom you manage,"LLMs can assist with identifying training opportunities, creating development plans, and tracking progress, but human input remains crucial for personalized guidance.",0.3,0.4,0.3,0.0
cfuture,12,Making strategic decisions about the future of your organisation,"LLMs can analyze data, generate reports, and provide insights to support strategic decision-making, but human judgment remains essential for final decisions.",0.2,0.4,0.4,0.0
cteach,21,"Instructing, training, or teaching people, individually or in groups","LLMs can significantly aid in preparing teaching materials and potentially even delivering personalized instruction, but the human element of teaching and mentorship remains crucial, especially in complex technical fields.",0.2,0.4,0.35,0.05
cspeech,21,Making speeches or presentations,"LLMs excel at generating and refining text, making them highly effective for crafting presentations and speeches, though delivery and audience interaction still rely on human skills.",0.1,0.5,0.35,0.05
cpersuad,21,Persuading or influencing others,"While LLMs can assist in crafting persuasive arguments and providing data-driven insights, the human element of building trust and rapport remains essential in persuasion, especially in technical fields.",0.3,0.3,0.35,0.05
cteamwk,21,"Working with a team of people in the context of scientific research, engineering projects, or IT development.","While teamwork relies heavily on interpersonal skills, LLMs integrated into collaborative platforms could significantly improve efficiency.",0.2,0.2,0.6,0.0
clisten,21,"Listening carefully to colleagues during meetings, presentations, or technical discussions in a scientific/technical setting.","While active listening is fundamental, LLM-powered transcription and summarization tools could improve information retention and reduce time spent reviewing meeting content.",0.4,0.3,0.3,0.0
ccoop,21,"Cooperating with colleagues on research projects, experiments, technical development, or problem-solving in a scientific/technical field.","LLMs can facilitate cooperation by streamlining communication, knowledge sharing, and collaborative tasks within project management and development platforms.",0.15,0.25,0.6,0.0
cwrite,21,"Writing material such as forms, notices, or signs in the context of scientific research, engineering, or technology professions.","LLMs can significantly assist in generating formulaic text for forms, notices, and signs, but some customization and formatting may still be required.",0.2,0.6,0.2,0.0
cwritesh,21,"Writing short documents such as short reports, letters, or emails in the context of scientific research, engineering, or technology professions.","LLMs excel at generating short documents, but fact-checking and nuanced adjustments are still necessary, especially in technical fields.",0.1,0.6,0.3,0.0
cwritelg,21,"Writing long documents with correct spelling and grammar, such as long reports, manuals, articles, or books, in the context of scientific research, engineering, or technology professions.","LLMs can significantly assist in drafting and structuring long documents, but ensuring accuracy, coherence, and nuanced technical details remains crucial.",0.1,0.5,0.4,0.0
cread,21,"Reading written information such as forms, notices, or signs in the context of scientific research, engineering, and technology professions.","Reading short, simple texts like forms or signs offers minimal potential for LLM-driven time savings, as the task is already quick and straightforward.",0.9,0.05,0.05,0.0
cshort,21,"Reading short documents such as short reports, letters, or emails in the context of scientific research, engineering, and technology professions.","LLMs can meaningfully assist with summarizing, analyzing, and extracting key information from short documents, but full comprehension often still requires human review.",0.4,0.3,0.3,0.0
clong,21,"Reading long documents such as long reports, manuals, articles, or books in the context of scientific research, engineering, and technology professions.","LLMs excel at summarizing, extracting key information, and cross-referencing long documents, significantly reducing research and comprehension time for professionals in these fields.",0.15,0.45,0.4,0.0
canalyse,21,Analysing complex problems in depth,"LLMs can significantly aid in research, data analysis, and exploring potential solutions, but human expertise remains crucial for critical evaluation and validation.",0.15,0.45,0.35,0.05
cfaults,21,Spotting problems or faults,"While LLMs can assist in identifying patterns and anomalies, some problems require specialized domain knowledge and physical inspection.",0.25,0.35,0.3,0.1
ccause,21,Working out the cause of problems or faults,"LLMs can assist in hypothesis generation and exploring potential causes, but experimental validation and domain expertise are essential.",0.2,0.4,0.3,0.1
csolutn,21,Thinking of solutions to problems,"LLMs excel at generating creative solutions and exploring different approaches, but feasibility assessment and implementation often require human expertise.",0.1,0.5,0.3,0.1
cspecial,21,Specialist knowledge or understanding,"While core expertise remains essential, LLMs can significantly augment specialist knowledge access and application through direct querying and integration with specialized software.",0.05,0.45,0.45,0.05
cupto,21,Keeping up-to-date with and applying new knowledge to your job,"LLMs excel at summarizing and synthesizing new research, significantly aiding professionals in staying current, though critical evaluation remains crucial.",0.05,0.6,0.3,0.05
cideas,21,"Developing new or improved work processes, products or services","LLMs can significantly accelerate idea generation and refinement, but human oversight remains essential for validation and practical implementation.",0.1,0.5,0.35,0.05
cstats,21,Calculations using more advanced mathematical or statistical procedures (Note: Using a calculator or computer if necessary.),"While existing statistical software is powerful, LLMs can enhance complex analyses, particularly when integrated with specialized tools, but image processing has limited impact.",0.15,0.35,0.45,0.05
ccalca,21,"Adding, subtracting, multiplying or dividing numbers (Note: Using a calculator or computer if necessary.)","Basic arithmetic is already efficiently handled by calculators and spreadsheets, minimizing LLM impact.",0.9,0.05,0.05,0.0
cpercent,21,"Calculations using decimals, percentages or fractions (Note: Using a calculator or computer if necessary.)","Existing tools like calculators and spreadsheets are highly efficient for these calculations, offering minimal opportunity for significant time savings from LLMs.",0.85,0.1,0.05,0.0
cstrength,21,"Carrying, pushing or pulling heavy objects","This task is primarily physical, with minimal potential for LLM impact except perhaps through robotic integration in specialized E2 scenarios.",0.95,0.0,0.05,0.0
cstamina,21,Working for long periods on physical activities,"Physical stamina is inherently human-dependent, with LLMs offering little direct assistance outside potential E2 robotic or automation scenarios.",0.95,0.0,0.05,0.0
chands,21,"Mending, repairing, assembling, constructing or adjusting things","While primarily manual, LLMs could provide instructions (E1) or integrate with AR tools (E2) for guidance, especially in complex assembly or repair tasks within research or engineering contexts.",0.6,0.1,0.25,0.05
ctools,21,"Knowledge of how to use or operate tools, equipment or machinery","LLMs can provide instructions or tutorials (E1), integrate with equipment interfaces for real-time guidance (E2), or utilize image recognition for tool identification or troubleshooting (E3), particularly relevant for specialized scientific or engineering equipment.",0.3,0.3,0.35,0.05
cplanme,21,Planning your own activities,"While personal task management tools exist, LLMs integrated into calendars and project management software could significantly improve scheduling and prioritization for Science, Research, Engineering and Technology Professionals.",0.2,0.3,0.5,0.0
cplanoth,21,Planning the activities of others,"LLM-powered project management tools could significantly improve team coordination and resource allocation, but human oversight remains essential.",0.15,0.25,0.6,0.0
cmytime,21,Organising one's own time,"LLMs can assist with time management, but existing tools already provide substantial support, and individual preferences play a significant role.",0.25,0.35,0.4,0.0
cahead,21,Thinking ahead,"While LLMs can provide information and analyze trends, strategic thinking and foresight heavily rely on human expertise and judgment in this occupation.",0.5,0.3,0.2,0.0
cimpl,21,Developing plans to put new ideas into practice,"LLMs can significantly assist in project planning and implementation by generating outlines, timelines, and resource allocation strategies, especially when integrated with project management tools.",0.1,0.3,0.6,0.0
cmefeel,21,Managing your own feelings,"Managing one's feelings is a personal task with limited applicability for LLMs in this occupation, though some mental health/wellbeing apps could offer minor assistance.",0.9,0.05,0.05,0.0
cothfeel,21,Handling the feelings of other people,"While LLMs can offer some communication assistance, handling feelings relies heavily on interpersonal skills and emotional intelligence, limiting LLM impact in this occupation.",0.7,0.15,0.15,0.0
clookprt,21,Looking the part,"Looking the part is primarily a matter of personal appearance and attire, with minimal relevance to LLMs in this occupation, though some apps could offer limited style advice.",0.95,0.0,0.05,0.0
csoundprt,21,Sounding the part,"LLMs can assist with communication and presentation skills, potentially improving how professionals in this occupation convey information, but true expertise still requires domain knowledge and experience.",0.6,0.2,0.2,0.0
cpeople,21,Dealing with people,"While LLMs can assist with communication and scheduling, many interpersonal aspects of 'dealing with people' in scientific roles require human judgment and nuanced understanding, limiting potential time savings.",0.4,0.3,0.3,0.0
ccaring,21,"Counselling, advising or caring for customers or clients","LLMs can augment advising and counseling by providing information and drafting communications, but human empathy and complex problem-solving remain crucial, especially in technical fields.",0.3,0.3,0.4,0.0
cselling,21,Selling a product or service,"LLMs can significantly aid in technical sales by generating marketing materials, answering technical questions, and personalizing customer interactions, but closing deals often requires human persuasion.",0.2,0.4,0.4,0.0
cproduct,21,Knowledge of particular products or services,"LLMs excel at providing and synthesizing information about products and services, especially in technical domains, significantly reducing research and knowledge acquisition time.",0.05,0.65,0.3,0.0
cmotivat,21,Motivating the staff whom you manage or supervise,"While LLMs can offer suggestions for motivational techniques, the deeply interpersonal nature of motivation within research and engineering teams limits significant time reduction.",0.6,0.2,0.2,0.0
cthings,21,Keeping a close control over resources,LLM-powered applications integrating with existing project management and resource allocation tools could significantly improve efficiency in resource control.,0.1,0.2,0.7,0.0
ccoach,21,Coaching the staff whom you manage,"LLMs can provide helpful resources and feedback suggestions, but the personalized nature of coaching limits overall time reduction potential.",0.4,0.3,0.3,0.0
